"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"BNK FEARX",19,12,7,32.6,315,298,1.06,0.99,-0.22,"-0.7%",45.6,17.6,-122,"47%","47%","37%",4,"26%","58%","58%","56%","0%","47%","50%","50.2%","50.1%",3.63,1.35,1.59
"DN Freecs",19,6,13,33.4,239,302,0.79,0.85,0.06,"-2.7%",54.3,-22.7,334,"63%","53%","53%",3.9,"47%","51%","37%","42%","100%","21%","26%","49.6%","48.0%",3.35,1.33,1.52
"Dplus KIA",18,11,7,35.7,272,254,1.07,0.82,0.57,"3.2%",57.2,3.9,486,"28%","61%","72%",3.8,"56%","33%","50%","49%","33%","50%","48%","50.6%","53.2%",3.44,1.33,1.64
"DRX",23,10,13,34.4,331,354,0.94,0.87,-0.24,"-0.4%",45.9,-2.4,-332,"65%","39%","39%",2.2,"65%","62%","57%","45%","50%","70%","71%","49.4%","48.4%",3.36,1.23,1.56
"Gen.G",19,15,4,30.2,330,216,1.53,0.95,1.03,"7.3%",59.9,19,1175,"63%","47%","63%",5.1,"47%","54%","47%","60%",,"47%","63%","51.7%","53.4%",3.45,1.17,1.61
"Hanwha Life Esports",17,9,8,32.8,283,242,1.17,0.94,0.11,"2.9%",48.5,4.4,146,"35%","65%","53%",3.5,"47%","55%","47%","51%",,"65%","67%","50.1%","50.5%",3.59,1.36,1.68
"KT Rolster",17,4,13,31,225,303,0.74,1,-0.98,"-7.3%",37.5,-13.9,-994,"35%","18%","24%",2.8,"29%","53%","47%","41%",,"24%","31%","48.5%","45.7%",3.37,1.36,1.39
"Nongshim RedForce",17,1,16,29.5,152,372,0.41,1.04,-1.37,"-8.7%",36.3,-30.4,-1194,"53%","35%","29%",3.7,"41%","42%","18%","24%",,"18%","24%","48.8%","46.3%",3.52,1.36,1.3
"OKSavingsBank BRION",20,11,9,33.1,303,243,1.25,0.82,0,"1.8%",49,6,-244,"45%","55%","55%",2.5,"55%","43%","50%","59%",,"35%","52%","50.3%","51.3%",3.49,1.29,1.62
"T1",18,15,3,29.9,339,196,1.73,0.99,1.03,"4.6%",65.7,17.6,688,"61%","83%","78%",4.6,"83%","45%","89%","70%",,"50%","63%","50.6%","53.6%",3.71,1.38,1.42
"unknown team",1,0,1,35.8,5,16,0.31,0.59,-2.34,"-17.0%",37.9,-37.9,-248,"0%","0%","0%",3,"0%","33%","0%","20%",,"0%","0%","50.4%","39.1%",3.3,1.42,1.48
