"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","Dplus KIA","ADC",12,"58%","42%",50,18,87,7.6,"79.2%","28.9%","10.9%","8%",221,-30,5.8,10,"32.0%",822,"30.0%","31.9%",5121,328,"27.0%",0,0.4,0.1,0.35
"Andil","DRX","Support",15,"47%","47%",9,57,167,3.1,"80.7%","4.1%","25.3%","67%",-9,146,1.5,1,"2.2%",197,"7.3%","6.2%",651,109,"9.3%",0,1.74,0.46,0.39
"Bdd","KT Rolster","Middle",10,"20%","60%",36,29,59,3.3,"67.9%","25.7%","15.3%","10%",233,127,4.4,8.6,"26.3%",692,"27.1%","26.0%",3180,268,"24.4%",0,0.45,0.17,0.19
"Berserker","unknown team","ADC",3,"0%","33%",4,9,15,2.1,"70.4%","14.8%","15.0%","67%",102,-79,2.3,8.2,"27.6%",671,"26.9%","28.8%",2690,245,"24.7%",0,0.37,0.12,0.22
"Berserker","DN Freecs","ADC",9,"33%","44%",29,21,55,4,"77.1%","26.6%","15.9%","33%",59,7,0.4,9.6,"33.1%",724,"28.3%","30.4%",4344,305,"26.7%",0,0.41,0.13,0.32
"BeryL","Dplus KIA","Support",12,"58%","58%",9,40,112,3,"69.9%","5.2%","24.2%","8%",70,236,1.5,1,"2.2%",246,"9.1%","7.3%",614,112,"9.3%",1,1.69,0.45,0.42
"BuLLDoG","DN Freecs","Middle",9,"33%","44%",19,26,59,3,"71.6%","17.4%","19.7%","11%",38,199,2.7,8.4,"25.7%",700,"27.5%","27.5%",2767,264,"23.6%",0,0.48,0.26,0.3
"BuLLDoG","unknown team","Middle",3,"0%","33%",7,14,13,1.4,"74.1%","25.9%","23.3%","0%",-45,-163,-2.3,9,"29.5%",766,"29.7%","29.6%",4441,266,"26.0%",0,0.49,0.21,0.21
"Calix","Nongshim RedForce","Middle",10,"0%","30%",21,31,35,1.8,"55.4%","20.8%","14.2%","20%",-154,11,-4.1,8.5,"25.9%",553,"22.7%","23.8%",3196,256,"23.6%",0,0.44,0.25,0.22
"Canyon","Gen.G","Jungle",12,"75%","33%",49,27,102,5.6,"70.9%","23.0%","17.5%","42%",-34,-86,-2.8,6.7,"19.2%",448,"15.7%","16.8%",3538,260,"19.9%",0,0.4,0.34,0.37
"Chovy","Gen.G","ADC",1,"100%","0%",9,0,6,15,"68.2%","40.9%","0.0%","0%",242,1116,17,9.1,"23.7%",994,"30.5%","32.2%",8821,395,"27.6%",0,0.41,0.04,0.48
"Chovy","Gen.G","Middle",11,"73%","55%",35,26,96,5,"68.6%","18.3%","17.6%","27%",93,139,7.2,9.4,"26.5%",771,"28.5%","28.3%",4441,316,"24.5%",0,0.43,0.12,0.33
"Clear","BNK FEARX","Top",13,"69%","54%",36,34,89,3.7,"56.3%","16.2%","17.1%","8%",16,46,1.5,7.6,"22.5%",664,"23.7%","22.6%",4205,249,"20.5%",0,0.3,0.15,0.22
"Clozer","OKSavingsBank BRION","Middle",12,"50%","75%",34,29,103,4.7,"69.5%","17.3%","17.6%","17%",69,-36,-1.1,8.9,"26.1%",609,"21.8%","21.6%",3875,277,"22.8%",0,0.4,0.17,0.23
"Croco","OKSavingsBank BRION","Jungle",12,"50%","42%",42,32,110,4.8,"77.2%","21.3%","19.4%","33%",-32,-219,-3.5,6.7,"20.0%",500,"17.2%","18.6%",3379,242,"20.5%",1,0.24,0.2,0.44
"Cuzz","KT Rolster","Jungle",10,"20%","50%",28,37,75,2.8,"73.6%","20.0%","19.5%","30%",-72,-99,-2,6.3,"18.6%",419,"15.6%","17.3%",924,219,"19.8%",0,0.32,0.29,0.44
"Delight","Hanwha Life Esports","Support",12,"67%","42%",15,39,163,4.6,"80.5%","6.8%","22.8%","8%",39,-14,1.8,1.3,"2.9%",233,"8.3%","7.2%",910,140,"10.8%",0,2,0.58,0.5
"deokdam","KT Rolster","ADC",10,"20%","60%",44,38,72,3.1,"82.9%","31.4%","20.0%","40%",-211,-139,-6.6,8.6,"30.0%",778,"29.8%","31.7%",3674,293,"26.7%",0,0.44,0.14,0.27
"Diable","BNK FEARX","ADC",13,"69%","46%",75,39,100,4.5,"78.8%","33.8%","19.6%","31%",-63,98,0.8,9.6,"33.4%",794,"27.9%","29.6%",4707,335,"27.6%",0,0.47,0.14,0.36
"Doran","T1","Top",12,"75%","42%",46,34,78,3.6,"61.1%","22.7%","23.6%","33%",114,-37,-2,7.8,"21.8%",653,"23.2%","21.4%",5488,277,"21.6%",0,0.41,0.21,0.18
"DuDu","DN Freecs","Top",9,"33%","44%",19,28,43,2.2,"56.9%","17.4%","21.2%","0%",128,64,4.7,7.4,"21.5%",584,"22.2%","19.7%",2448,227,"19.8%",0,0.29,0.15,0.17
"DuDu","unknown team","Top",3,"0%","33%",4,7,10,2,"51.9%","14.8%","11.7%","0%",218,265,10.3,7.6,"23.4%",633,"25.1%","22.4%",880,209,"21.0%",0,0.33,0.18,0.17
"Duro","Gen.G","Support",12,"75%","58%",13,37,141,4.2,"72.3%","6.1%","24.0%","50%",-80,-4,-3,0.8,"1.7%",191,"6.7%","6.1%",756,124,"9.5%",0,1.84,0.46,0.34
"Faker","T1","Middle",12,"75%","33%",40,30,79,4,"58.6%","19.7%","20.8%","17%",-144,-6,-5.4,8.2,"23.1%",615,"21.2%","21.1%",3939,273,"21.2%",0,0.41,0.15,0.17
"GIDEON","Nongshim RedForce","Jungle",10,"0%","70%",27,46,49,1.7,"75.2%","26.7%","21.0%","20%",1,-73,-1.1,6.3,"17.9%",374,"15.7%","16.1%",1322,220,"20.5%",1,0.4,0.33,0.34
"Gumayusi","T1","ADC",12,"75%","75%",71,20,70,7.1,"69.5%","35.0%","13.9%","25%",214,132,11.3,10.1,"33.5%",815,"28.0%","30.2%",5815,346,"27.2%",1,0.47,0.15,0.29
"Hype","OKSavingsBank BRION","ADC",12,"50%","58%",65,32,81,4.6,"74.1%","33.0%","19.4%","17%",-115,111,-5.2,8.9,"29.1%",854,"29.8%","31.2%",4286,304,"25.1%",0,0.37,0.1,0.37
"Jiwoo","Nongshim RedForce","ADC",6,"0%","17%",13,21,35,2.3,"68.6%","18.6%","17.2%","33%",-32,-105,-2.8,9.1,"30.9%",636,"26.6%","26.9%",2617,282,"25.5%",0,0.42,0.13,0.27
"Kellin","BNK FEARX","Support",13,"69%","62%",15,50,163,3.6,"80.2%","6.8%","25.1%","46%",-43,-244,-1.8,0.9,"2.1%",203,"7.1%","6.3%",341,121,"9.9%",0,2.2,0.67,0.43
"Keria","T1","Support",12,"75%","58%",11,33,140,4.6,"74.4%","5.4%","22.9%","33%",41,62,-2.7,1.1,"2.5%",307,"11.0%","9.2%",1022,130,"10.1%",0,2.05,0.6,0.44
"Kiin","Gen.G","Top",12,"75%","67%",41,37,71,3,"52.6%","19.2%","24.0%","8%",-45,128,0.2,7.8,"22.6%",615,"22.1%","21.2%",4771,262,"20.3%",0,0.37,0.11,0.24
"Kingen","Nongshim RedForce","Top",10,"0%","40%",21,44,30,1.2,"50.5%","20.8%","20.1%","20%",7,-22,-1.5,7.5,"23.6%",601,"25.4%","24.8%",3124,230,"21.2%",0,0.31,0.12,0.17
"kyeahoo","DRX","Middle",15,"47%","60%",58,42,103,3.8,"73.9%","26.6%","18.7%","33%",-16,-15,1.2,8.8,"27.4%",682,"25.0%","24.8%",4029,285,"24.5%",0,0.41,0.21,0.24
"Lehends","Nongshim RedForce","Support",10,"0%","50%",13,59,54,1.1,"66.3%","12.9%","26.9%","40%",-22,258,5.6,1.1,"1.7%",225,"9.6%","8.2%",755,109,"10.2%",0,2.05,0.59,0.36
"Life","unknown team","Support",3,"0%","67%",5,21,18,1.1,"85.2%","18.5%","35.0%","67%",308,246,1.7,0.9,"1.9%",157,"5.9%","4.9%",341,102,"9.7%",0,1.91,0.5,0.46
"Life","DN Freecs","Support",6,"17%","33%",4,20,53,2.9,"86.4%","6.1%","20.8%","17%",-19,-5,0.7,0.8,"1.8%",163,"7.3%","5.5%",550,104,"9.6%",0,1.85,0.49,0.35
"Lucid","Dplus KIA","Jungle",12,"58%","75%",41,40,84,3.1,"72.3%","23.7%","24.2%","25%",132,282,5.8,6.4,"16.7%",411,"15.1%","16.1%",1701,229,"18.7%",3,0.43,0.38,0.4
"Morgan","OKSavingsBank BRION","Top",12,"50%","75%",45,26,85,5,"66.0%","22.8%","15.8%","0%",64,59,3.5,8,"23.1%",630,"22.5%","21.1%",4393,263,"21.8%",0,0.4,0.28,0.27
"Oner","T1","Jungle",12,"75%","58%",35,27,111,5.4,"71.9%","17.2%","18.8%","42%",191,230,4.8,6.8,"19.1%",466,"16.5%","18.0%",2617,254,"19.9%",1,0.3,0.24,0.37
"Peanut","Hanwha Life Esports","Jungle",12,"67%","42%",31,38,123,4.1,"69.7%","14.0%","22.2%","25%",-98,0,0.6,6.3,"18.0%",393,"13.7%","14.7%",2704,233,"18.1%",0,0.31,0.26,0.47
"PerfecT","KT Rolster","Top",10,"20%","30%",28,37,47,2,"53.6%","20.0%","19.5%","10%",-200,-359,-3.7,7,"23.1%",544,"21.0%","19.9%",2142,212,"19.5%",0,0.5,0.23,0.14
"Peter","KT Rolster","Support",8,"25%","38%",4,38,84,2.3,"76.5%","3.5%","26.0%","25%",6,-283,-0.8,0.9,"1.9%",147,"5.8%","4.5%",275,107,"9.5%",0,1.8,0.53,0.43
"Pollu","OKSavingsBank BRION","Support",12,"50%","33%",11,46,144,3.4,"78.7%","5.6%","27.9%","42%",-103,-162,-2.5,0.9,"1.8%",245,"8.7%","7.5%",683,118,"9.9%",0,2.11,0.6,0.37
"Pyosik","DN Freecs","Jungle",9,"33%","67%",36,27,57,3.4,"85.3%","33.0%","20.5%","33%",46,-106,-3.1,6.1,"17.7%",366,"14.5%","16.1%",2077,232,"20.4%",0,0.37,0.33,0.35
"Pyosik","unknown team","Jungle",3,"0%","33%",7,9,13,2.2,"74.1%","25.9%","15.0%","67%",-63,2,-2.7,5.9,"17.6%",352,"12.4%","14.2%",2033,194,"18.6%",1,0.42,0.41,0.39
"Quantum","DN Freecs","Support",3,"67%","67%",2,10,35,3.7,"86.0%","4.7%","27.8%","67%",93,-202,1.3,1,"2.4%",261,"8.0%","8.1%",1285,115,"9.3%",0,1.87,0.46,0.41
"Raptor","BNK FEARX","Jungle",13,"69%","62%",47,41,124,4.2,"77.0%","21.2%","20.6%","38%",-122,-26,-2.1,5.9,"17.1%",465,"16.5%","17.3%",3885,237,"19.4%",1,0.28,0.24,0.48
"Rich","DRX","Top",15,"47%","47%",36,41,94,3.2,"59.6%","16.5%","18.2%","33%",-137,-133,-8.2,7.3,"21.9%",646,"24.1%","22.3%",2490,226,"19.4%",0,0.42,0.16,0.21
"Ruler","Gen.G","ADC",11,"73%","27%",61,24,70,5.5,"68.6%","31.9%","16.2%","45%",34,-8,-4.2,9.5,"30.4%",735,"26.9%","27.6%",5142,336,"25.7%",0,0.44,0.16,0.34
"Ruler","Gen.G","Middle",1,"100%","100%",5,3,12,5.7,"77.3%","22.7%","50.0%","0%",474,-1141,-2,9,"28.0%",825,"25.3%","25.4%",7658,350,"24.4%",0,0.41,0.11,0.26
"ShowMaker","Dplus KIA","Middle",12,"58%","42%",43,26,84,4.9,"73.4%","24.9%","15.8%","25%",149,65,0.9,9,"26.2%",649,"24.1%","24.8%",5548,305,"24.9%",0,0.45,0.23,0.25
"Siwoo","Dplus KIA","Top",12,"58%","33%",30,41,66,2.3,"55.5%","17.3%","24.8%","0%",-60,-57,-0.9,7.8,"22.9%",584,"21.6%","19.8%",3940,241,"20.0%",0,0.39,0.14,0.21
"Sponge","DRX","Jungle",15,"47%","20%",36,48,151,3.9,"85.8%","16.5%","21.3%","53%",10,35,2.4,6.2,"18.0%",420,"15.2%","16.3%",2475,225,"19.3%",3,0.33,0.3,0.42
"Teddy","DRX","ADC",15,"47%","60%",79,37,105,5,"84.4%","36.2%","16.4%","33%",-86,-138,-1.9,9.2,"30.6%",779,"28.4%","30.4%",4709,321,"27.5%",0,0.45,0.12,0.33
"Trigger","Nongshim RedForce","ADC",4,"0%","75%",6,18,9,0.8,"48.4%","19.4%","18.6%","25%",-730,-330,-9.8,8.6,"30.8%",627,"26.5%","27.3%",603,241,"23.1%",0,0.32,0.09,0.31
"VicLa","BNK FEARX","Middle",13,"69%","31%",49,35,119,4.8,"75.7%","22.1%","17.6%","15%",-198,-109,-2.5,8.1,"24.8%",715,"24.9%","24.2%",4247,281,"22.8%",0,0.46,0.2,0.24
"Viper","Hanwha Life Esports","ADC",12,"67%","50%",92,26,80,6.6,"77.8%","41.6%","15.2%","0%",169,60,1.3,9.6,"31.1%",895,"30.9%","32.8%",6927,359,"27.6%",0,0.45,0.13,0.39
"Way","KT Rolster","Support",2,"0%","50%",0,11,23,2.1,"92.0%","0.0%","25.0%","100%",90,-419,-1.5,1.1,"2.5%",224,"8.9%","7.4%",283,96,"9.9%",0,1.91,0.61,0.46
"Zeka","Hanwha Life Esports","Middle",12,"67%","67%",40,32,108,4.6,"67.0%","18.1%","18.7%","17%",-46,-140,-1.3,8.8,"26.1%",771,"26.4%","26.0%",3574,291,"22.5%",0,0.53,0.23,0.23
"Zeus","Hanwha Life Esports","Top",12,"67%","67%",43,36,94,3.8,"62.0%","19.5%","21.1%","8%",92,226,6.2,7.7,"22.0%",610,"20.7%","19.4%",2984,270,"21.0%",0,0.4,0.21,0.17
