"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Fnatic",9,6,3,30.6,109,94,1.16,0.74,0.77,"3.8%",62.5,4.2,845,"89%","56%","56%",3.6,"89%","30%","44%","58%","100%","44%","56%","50.2%","51.8%",3.41,1.24,1.47
"G2 Esports",4,4,0,30.5,72,16,4.5,0.72,1.93,"13.2%",68.9,31.1,1599,"50%","100%","100%",4,"50%","83%","25%","63%",,"100%","100%","50.1%","56.8%",3.3,1.23,1.77
"GiantX",8,4,4,31.5,108,93,1.16,0.8,0.15,"5.4%",63.6,-13.6,772,"88%","38%","50%",3.1,"50%","63%","75%","56%","100%","50%","60%","49.9%","49.1%",3.57,1.39,1.64
"Karmine Corp",8,6,2,32.1,127,73,1.74,0.78,0.82,"4.2%",50.2,24.8,121,"50%","50%","63%",4,"50%","63%","38%","62%",,"63%","67%","49.9%","49.7%",3.41,1.21,1.54
"Movistar KOI",8,5,3,35.5,104,115,0.9,0.77,-0.13,"-0.5%",52.1,10.4,117,"25%","88%","63%",3,"75%","46%","63%","49%","50%","38%","38%","51.6%","53.0%",3.49,1.09,1.51
"Natus Vincere",6,0,6,32.5,45,114,0.39,0.82,-1.34,"-11.1%",25.2,-25.2,-1954,"33%","17%","33%",2.8,"17%","44%","33%","27%","0%","33%","38%","48.4%","47.1%",3.15,1.01,1.25
"SK Gaming",7,2,5,33.7,66,93,0.71,0.67,-0.9,"-4.6%",36.5,-7.9,-859,"43%","29%","57%",2.4,"43%","48%","71%","39%",,"29%","25%","49.2%","47.9%",3.56,1.43,1.58
"Team BDS",4,2,2,32.9,53,53,1,0.81,-0.34,"-3.7%",38.8,11.2,-295,"25%","25%","25%",3.8,"25%","58%","25%","29%","0%","50%","60%","49.6%","43.2%",3.6,1.19,1.59
"Team Heretics",8,2,6,32.4,66,110,0.6,0.68,-0.74,"-5.0%",43.9,-18.9,-851,"25%","50%","25%",3,"25%","54%","63%","56%",,"38%","38%","50.6%","49.8%",3.59,1.27,1.73
"Team Vitality",4,2,2,29,50,39,1.28,0.77,0.43,"-1.6%",55.3,-5.3,912,"50%","50%","25%",3.5,"50%","17%","25%","50%",,"50%","50%","49.7%","50.7%",3.45,1.34,1.54
