"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","SK Gaming","Middle",7,"29%","14%",9,25,33,1.7,"63.6%","13.6%","26.9%","29%",-40,4,0,8.8,"24.3%",455,"23.2%","21.7%",1888,249,"22.1%",0,0.53,0.25,0.2
"Adam","Natus Vincere","Top",6,"0%","33%",8,21,9,0.8,"37.8%","17.8%","18.4%","0%",4,-235,-3.5,8.2,"23.4%",471,"23.1%","20.9%",4184,229,"22.3%",0,0.42,0.11,0.13
"Alvaro","Movistar KOI","Support",8,"63%","25%",3,34,69,2.1,"69.2%","2.9%","29.6%","13%",-94,-127,1.8,1,"2.0%",183,"6.3%","5.6%",611,108,"8.7%",0,1.94,0.54,0.47
"bans","Team BDS","ADC",1,"100%","0%",10,0,3,13,"86.7%","66.7%","0.0%","100%",808,414,13,11.7,"36.1%",854,"40.5%","42.6%",5618,416,"32.0%",0,0.4,0.1,0.43
"Boukada","Team BDS","Jungle",4,"50%","25%",9,9,27,4,"67.9%","17.0%","17.0%","0%",-111,-481,-8.8,5.3,"13.4%",281,"13.0%","13.2%",1703,199,"16.7%",0,0.29,0.23,0.45
"BrokenBlade","G2 Esports","Top",4,"100%","50%",14,2,26,20,"55.6%","19.4%","12.5%","0%",11,21,5.8,8.2,"22.0%",776,"25.6%","24.1%",8078,293,"21.4%",0,0.39,0.21,0.21
"Caliste","Karmine Corp","ADC",8,"75%","25%",44,7,50,13.4,"74.0%","34.6%","9.6%","38%",242,-36,5.5,10.1,"33.0%",750,"27.8%","28.0%",6520,343,"27.4%",0,0.46,0.11,0.28
"Canna","Karmine Corp","Top",8,"75%","50%",25,10,64,8.9,"70.1%","19.7%","13.7%","13%",93,175,-0.9,7.8,"22.4%",583,"22.5%","22.0%",5229,274,"21.9%",0,0.51,0.23,0.19
"Caps","G2 Esports","Middle",4,"100%","75%",15,3,30,15,"62.5%","20.8%","18.8%","25%",261,342,7,9.4,"26.2%",617,"20.3%","21.3%",6655,325,"23.8%",0,0.31,0.15,0.22
"Carlsen","Team Heretics","Top",8,"25%","75%",15,21,19,1.6,"51.5%","22.7%","19.1%","13%",17,-4,0,8.2,"22.6%",446,"21.6%","18.5%",1998,231,"21.3%",0,0.3,0.17,0.15
"Carzzy","Team Vitality","ADC",4,"50%","50%",10,6,16,4.3,"52.0%","20.0%","15.4%","25%",46,-85,-1.5,9.4,"30.1%",570,"22.6%","21.1%",4191,271,"22.9%",0,0.5,0.2,0.24
"Czajek","Team Vitality","Middle",4,"50%","50%",15,10,20,3.5,"70.0%","30.0%","25.6%","25%",-40,-78,0.5,8.7,"24.3%",717,"30.0%","31.6%",3967,277,"23.5%",0,0.39,0.21,0.23
"DnDn","SK Gaming","Top",7,"29%","43%",13,21,18,1.5,"47.0%","19.7%","22.6%","14%",-171,-217,-7,8.7,"24.3%",454,"24.5%","25.0%",4484,258,"22.6%",0,0.5,0.24,0.15
"Elyoya","Movistar KOI","Jungle",8,"63%","50%",22,18,58,4.4,"76.9%","21.2%","15.7%","25%",-117,14,1.4,6.3,"17.0%",399,"14.1%","15.3%",2433,230,"18.7%",0,0.35,0.29,0.39
"Flakked","Team Heretics","ADC",8,"25%","25%",18,24,21,1.6,"59.1%","27.3%","21.8%","13%",-186,-177,1.3,10,"31.1%",446,"22.0%","23.1%",3263,284,"26.1%",0,0.51,0.16,0.32
"Fleshy","Team Vitality","Support",4,"50%","50%",2,12,39,3.4,"82.0%","4.0%","30.8%","25%",155,150,0.8,1.2,"2.9%",236,"10.1%","8.9%",236,125,"10.6%",0,1.9,0.51,0.63
"Hans Sama","G2 Esports","ADC",4,"100%","25%",22,1,28,50,"69.4%","30.6%","6.3%","25%",29,127,0.3,9.2,"28.1%",821,"27.1%","26.9%",9253,334,"24.4%",0,0.46,0.15,0.45
"Hans SamD","Natus Vincere","ADC",6,"0%","33%",11,19,13,1.3,"53.3%","24.4%","16.7%","17%",-216,-195,-6,9.5,"32.3%",486,"24.0%","25.2%",1586,275,"25.9%",0,0.4,0.04,0.31
"Ice","Team BDS","ADC",3,"33%","67%",10,11,12,2,"57.9%","26.3%","22.9%","0%",-253,-186,-5.7,9.8,"33.2%",493,"23.0%","28.4%",2630,314,"27.5%",0,0.37,0.16,0.32
"ISMA","GiantX","Jungle",8,"50%","38%",21,20,47,3.4,"63.0%","19.4%","21.5%","38%",80,37,0.8,6.3,"17.7%",432,"16.4%","17.8%",3036,217,"18.4%",0,0.32,0.25,0.39
