"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Anyone's Legend",28,15,13,32.2,447,432,1.03,0.98,,"0.6%",,,,"43%","46%",,,"46%","63%","43%","49%",,,"52%","50.2%","51.3%",3.69,1.45,1.58
"Bilibili Gaming",29,18,11,35.2,568,432,1.31,0.98,,"7.0%",,,,"52%","69%",,,"54%","32%","41%","55%",,,"55%","51.1%","52.7%",3.42,1.28,1.69
"EDward Gaming",16,13,3,32.3,278,164,1.7,0.85,,"6.0%",,,,"63%","44%",,,"31%","27%","50%","68%",,,"69%","51.0%","51.9%",3.66,1.28,1.7
"FunPlus Phoenix",23,5,18,32.6,229,387,0.59,0.82,,"-8.5%",,,,"43%","22%",,,"57%","52%","57%","43%",,,"24%","49.1%","46.2%",3.38,1.32,1.5
"Invictus Gaming",23,15,8,34.4,423,361,1.17,0.99,,"2.6%",,,,"52%","43%",,,"57%","45%","65%","58%",,,"58%","50.2%","47.7%",3.31,1.23,1.56
"JD Gaming",24,10,14,31.4,294,359,0.82,0.87,,"-2.3%",,,,"58%","54%",,,"54%","49%","50%","39%",,,"46%","49.8%","48.9%",3.56,1.28,1.37
"LGD Gaming",17,7,10,31.6,212,287,0.74,0.93,,"-2.8%",,,,"41%","53%",,,"41%","49%","53%","42%",,,"31%","49.6%","48.4%",3.14,1.13,1.56
"LNG Esports",19,5,14,33.8,230,330,0.7,0.87,,"-4.7%",,,,"53%","58%",,,"58%","68%","42%","36%",,,"24%","50.1%","47.7%",3.43,1.36,1.61
"Ninjas in Pyjamas",25,18,7,33,434,286,1.52,0.87,,"5.2%",,,,"60%","64%",,,"52%","53%","36%","56%",,,"82%","49.9%","52.8%",3.58,1.37,1.72
"Team WE",31,12,19,31,417,502,0.83,0.96,,"-2.4%",,,,"45%","45%",,,"47%","53%","58%","52%",,,"48%","49.6%","49.5%",3.5,1.31,1.58
"ThunderTalk Gaming",21,8,13,33.1,276,329,0.84,0.87,,"-2.2%",,,,"43%","33%",,,"52%","52%","67%","50%",,,"45%","50.0%","48.5%",3.68,1.46,1.64
"Top Esports",30,21,9,32.5,526,425,1.24,0.97,,"1.6%",,,,"53%","60%",,,"37%","54%","53%","58%",,,"68%","50.4%","51.6%",3.42,1.28,1.56
"Ultra Prime",22,9,13,31.9,268,308,0.87,0.82,,"-2.0%",,,,"41%","45%",,,"59%","45%","55%","48%",,,"38%","49.6%","50.1%",3.72,1.34,1.36
"Weibo Gaming",28,12,16,33.9,390,402,0.97,0.83,,"-0.2%",,,,"54%","54%",,,"54%","51%","32%","44%",,,"43%","49.5%","50.8%",3.57,1.35,1.63
